Buurten,Aantal inwoners per 1-1|2023,0 t/m 4 jaar|2023,5 t/m 14 jaar|2023,15 t/m 19 jaar|2023,20 t/m 44 jaar|2023,45 t/m 64 jaar|2023,65 t/m 79 jaar|2023,80 jaar en ouder|2023,% Nederlands|2023,% Turks|2023,% Marokkaans|2023,% Surinaams|2023,% Antilliaans|2023,% Overig niet-westers|2023,% Westers|2023
98 Dreven en Gaarden,11097.0,733.0,1498.0,717.0,3849.0,2577.0,1176.0,547.0,22.0,17.8,13.8,11.7,4.5,15.2,15.1
99 De Uithof,1838.0,87.0,207.0,118.0,373.0,490.0,354.0,209.0,64.4,7.0,2.1,5.7,0.5,7.1,13.2
100 Duindorp,5809.0,284.0,752.0,314.0,1823.0,1664.0,803.0,169.0,79.0,0.6,0.6,0.9,0.8,4.5,13.6
101 Erasmus Veld,3267.0,193.0,382.0,180.0,1056.0,860.0,349.0,247.0,43.4,14.6,7.1,13.5,1.9,8.8,10.7
102 Hoge Veld,9195.0,597.0,1727.0,699.0,3047.0,2327.0,586.0,212.0,45.9,13.4,8.4,11.9,1.2,9.4,9.9
103 Parkbuurt Oosteinde,3450.0,134.0,408.0,274.0,889.0,1241.0,439.0,65.0,59.3,4.1,2.0,9.8,1.4,9.7,13.7
104 Lage Veld,4202.0,220.0,502.0,295.0,1128.0,1365.0,596.0,96.0,45.6,10.1,10.6,11.3,2.2,9.8,10.3
105 Zonne Veld,3393.0,215.0,419.0,290.0,1053.0,1142.0,251.0,23.0,47.2,11.7,7.0,13.6,1.8,9.9,8.7
106 Vlietzoom-West,182.0,10.0,23.0,9.0,40.0,60.0,35.0,5.0,83.5,,,,,3.3,8.2
107 Vliegeniersbuurt,,,,,,,,,,,,,,,
108 Bosweide,1964.0,74.0,260.0,230.0,383.0,784.0,196.0,37.0,59.7,1.4,,3.3,1.1,10.2,24.1
109 Tedingerbroek,,,,,,,,,,,,,,,
110 De Reef,688.0,68.0,102.0,40.0,351.0,95.0,29.0,,24.1,14.4,4.7,18.9,3.5,23.1,11.3
111 De Venen,1798.0,138.0,302.0,94.0,743.0,400.0,109.0,12.0,41.3,7.3,5.8,14.3,2.7,15.9,12.8
