B25077_001E,B02001_002E,B01003_001E,B25003_003E,B25001_001E,B09019_006E,B09019_001E,B15003_002E,B25018_001E,B19083_001E,B01002_001E,B08303_001E,B19013_001E,GEOID
33.1,4679.0,3726.0,2879.0,4679.0,368.0,16.0,47208.0,0.3866,2422.0,1729.0,3.7,350000.0,06073001700
33.3,8450.0,2679.0,4414.0,8450.0,816.0,197.0,113071.0,0.3191,2816.0,1471.0,4.9,561100.0,06073008354
17.9,4790.0,3476.0,1467.0,4790.0,527.0,8.0,53214.0,0.3478,1325.0,1265.0,5.9,515570.89638157893,06073009510
34.4,3722.0,2535.0,1711.0,3722.0,303.0,105.0,37016.0,0.5153,1131.0,732.0,3.9,356900.0,06073011801
27.5,3719.0,1214.0,1259.0,3719.0,511.0,108.0,38512.0,0.4687,1004.0,689.0,4.5,338200.0,06073003301
38.1,2818.0,2307.0,1421.0,2818.0,243.0,6.0,87750.0,0.4962,1214.0,420.0,5.5,647900.0,06073002002
36.3,4744.0,3577.0,2577.0,4744.0,535.0,0.0,79696.0,0.4429,1919.0,929.0,5.4,593100.0,06073020404
34.0,5318.0,4375.0,2228.0,5318.0,690.0,90.0,43080.0,0.4131,2113.0,1499.0,3.5,370700.0,06073012402
37.2,4542.0,1524.0,2047.0,4542.0,323.0,162.0,56184.0,0.4714,1355.0,478.0,5.3,334500.0,06073002705
30.2,4653.0,1857.0,1834.0,4653.0,428.0,325.0,42721.0,0.517,1259.0,869.0,4.2,332900.0,06073002710
34.4,4165.0,2585.0,2482.0,4165.0,386.0,61.0,87787.0,0.4505,2342.0,1345.0,3.8,604400.0,06073009509
28.2,5180.0,3957.0,2346.0,5180.0,404.0,86.0,48059.0,0.4244,1441.0,822.0,4.5,430700.0,06073020500
31.2,5335.0,4314.0,2589.0,5335.0,599.0,86.0,38299.0,0.4172,2025.0,1543.0,3.4,422300.0,06073012700
28.4,2370.0,1844.0,859.0,2370.0,231.0,64.0,34205.0,0.4252,674.0,358.0,4.1,515570.89638157893,06073013205
27.2,6511.0,4281.0,2971.0,6511.0,596.0,179.0,54504.0,0.3813,1587.0,1120.0,4.2,342900.0,06073020601
33.2,4900.0,3735.0,2020.0,4900.0,429.0,133.0,75057.0,0.3304,1216.0,329.0,5.4,360400.0,06073010109
29.8,4939.0,3801.0,2378.0,4939.0,452.0,13.0,51842.0,0.3765,1571.0,1096.0,4.5,330600.0,06073020707
41.7,8107.0,5286.0,3881.0,8107.0,1164.0,14.0,90034.0,0.3995,3239.0,1057.0,5.2,568900.0,06073017015
35.3,3778.0,2911.0,1867.0,3778.0,351.0,41.0,91750.0,0.4027,1495.0,552.0,5.6,586800.0,06073009507
33.3,3805.0,3050.0,1505.0,3805.0,445.0,181.0,36458.0,0.4346,1222.0,614.0,4.2,69700.0,06073013204
29.7,5283.0,4688.0,2011.0,5283.0,675.0,203.0,41159.0,0.3789,1341.0,967.0,4.0,289100.0,06073010012
39.1,5846.0,4414.0,2394.0,5846.0,796.0,186.0,48750.0,0.3921,1805.0,715.0,4.6,217700.0,06073010010
